price,fueltype,aspiration,carbody,drivewheel,wheelbase,curbweight,enginetype,cylindernumber,enginesize,boreratio,horsepower,citympg,highwaympg,carlength,carwidth
6855.0,gas,std,hatchback,fwd,86.6,1819,ohc,four,92,2.91,76,31,38,144.6,63.9
5399.0,gas,std,hatchback,fwd,93.7,1837,ohc,four,79,2.91,60,38,42,150.0,64.0
6529.0,gas,std,hatchback,fwd,93.7,1940,ohc,four,92,2.91,76,30,34,150.0,64.0
7129.0,gas,std,hatchback,fwd,93.7,1956,ohc,four,92,2.91,76,30,34,150.0,64.0
7295.0,gas,std,sedan,fwd,96.5,2010,ohc,four,92,2.91,76,30,34,163.4,64.0
7295.0,gas,std,wagon,fwd,96.5,2024,ohc,four,92,2.92,76,30,34,157.1,63.9
7895.0,gas,std,hatchback,fwd,96.5,2236,ohc,four,110,3.15,86,27,33,167.5,65.2
9095.0,gas,std,hatchback,fwd,96.5,2289,ohc,four,110,3.15,86,27,33,167.5,65.2
8845.0,gas,std,sedan,fwd,96.5,2304,ohc,four,110,3.15,86,27,33,175.4,65.2
10295.0,gas,std,sedan,fwd,96.5,2372,ohc,four,110,3.15,86,27,33,175.4,62.5
12945.0,gas,std,sedan,fwd,96.5,2465,ohc,four,110,3.15,101,24,28,175.4,65.2
10345.0,gas,std,sedan,fwd,96.5,2293,ohc,four,110,3.15,100,25,31,169.1,66.0
6785.0,gas,std,sedan,rwd,94.3,2337,ohc,four,111,3.31,78,24,29,170.7,61.8
8916.5,gas,std,sedan,fwd,94.5,1874,ohc,four,90,3.03,70,38,43,155.9,63.6
8916.5,gas,std,sedan,fwd,94.5,1909,ohc,four,90,3.03,70,38,43,155.9,63.6
11048.0,gas,std,hatchback,rwd,96.0,2734,ohc,four,119,3.43,90,24,29,172.6,65.2
32250.0,gas,std,sedan,rwd,113.0,4066,dohc,six,258,3.63,176,15,19,199.6,69.6
35550.0,gas,std,sedan,rwd,113.0,4066,dohc,six,258,3.63,176,15,19,199.6,69.6
36000.0,gas,std,sedan,rwd,102.0,3950,ohcv,twelve,326,3.54,262,13,17,191.7,70.6
5195.0,gas,std,hatchback,fwd,93.1,1890,ohc,four,91,3.03,68,30,31,159.1,64.2
6095.0,gas,std,hatchback,fwd,93.1,1900,ohc,four,91,3.03,68,31,38,159.1,64.2
6795.0,gas,std,hatchback,fwd,93.1,1905,ohc,four,91,3.03,68,31,38,159.1,64.2
6695.0,gas,std,sedan,fwd,93.1,1945,ohc,four,91,3.03,68,31,38,166.8,64.2
7395.0,gas,std,sedan,fwd,93.1,1950,ohc,four,91,3.08,68,31,38,166.8,64.2
10945.0,gas,std,hatchback,rwd,95.3,2380,rotor,two,70,3.33,101,17,23,169.0,65.7
11845.0,gas,std,hatchback,rwd,95.3,2380,rotor,two,70,3.33,101,17,23,169.0,65.7
13645.0,gas,std,hatchback,rwd,95.3,2385,rotor,two,70,3.33,101,17,23,169.0,65.7
15645.0,gas,std,hatchback,rwd,95.3,2500,rotor,two,80,3.33,135,16,23,169.0,65.7
8845.0,gas,std,hatchback,fwd,98.8,2385,ohc,four,122,3.39,84,26,32,177.8,66.5
8495.0,gas,std,sedan,fwd,98.8,2410,ohc,four,122,3.39,84,26,32,177.8,66.5
10595.0,gas,std,hatchback,fwd,98.8,2385,ohc,four,122,3.39,84,26,32,177.8,66.5
10245.0,gas,std,sedan,fwd,98.8,2410,ohc,four,122,3.39,84,26,32,177.8,66.5
10795.0,diesel,std,sedan,fwd,98.8,2443,ohc,four,122,3.39,64,36,42,177.8,66.5
11245.0,gas,std,hatchback,fwd,98.8,2425,ohc,four,122,3.39,84,26,32,177.8,66.5
18280.0,gas,std,sedan,rwd,104.9,2670,ohc,four,140,3.76,120,19,27,175.0,66.1
18344.0,diesel,std,sedan,rwd,104.9,2700,ohc,four,134,3.43,72,31,39,175.0,66.1
25552.0,diesel,turbo,sedan,rwd,110.0,3515,ohc,five,183,3.58,123,22,25,190.9,70.3
28248.0,diesel,turbo,wagon,rwd,110.0,3750,ohc,five,183,3.58,123,22,25,190.9,70.3
28176.0,diesel,turbo,hardtop,rwd,106.7,3495,ohc,five,183,3.58,123,22,25,187.5,70.3
31600.0,diesel,turbo,sedan,rwd,115.6,3770,ohc,five,183,3.58,123,22,25,202.6,71.7
34184.0,gas,std,sedan,rwd,115.6,3740,ohcv,eight,234,3.46,155,16,18,202.6,71.7
35056.0,gas,std,convertible,rwd,96.6,3685,ohcv,eight,234,3.46,155,16,18,180.3,70.5
40960.0,gas,std,sedan,rwd,120.9,3900,ohcv,eight,308,3.8,184,14,16,208.1,71.7
45400.0,gas,std,hardtop,rwd,112.0,3715,ohcv,eight,304,3.8,184,14,16,199.2,72.0
16503.0,gas,turbo,hatchback,rwd,102.7,2910,ohc,four,140,3.78,175,19,24,178.4,68.0
5389.0,gas,std,hatchback,fwd,93.7,1918,ohc,four,92,2.97,68,37,41,157.3,64.4
6189.0,gas,std,hatchback,fwd,93.7,1944,ohc,four,92,2.97,68,31,38,157.3,64.4
6669.0,gas,std,hatchback,fwd,93.7,2004,ohc,four,92,2.97,68,31,38,157.3,64.4
7689.0,gas,turbo,hatchback,fwd,93.0,2145,ohc,four,98,3.03,102,24,30,157.3,63.8
9959.0,gas,turbo,hatchback,fwd,96.3,2370,ohc,four,110,3.17,116,23,30,173.0,65.4
8499.0,gas,std,hatchback,fwd,96.3,2328,ohc,four,122,3.35,88,25,32,173.0,65.4
12629.0,gas,turbo,hatchback,fwd,95.9,2833,ohc,four,156,3.58,145,19,24,173.2,66.3
14869.0,gas,turbo,hatchback,fwd,95.9,2921,ohc,four,156,3.59,145,19,24,173.2,66.3
14489.0,gas,turbo,hatchback,fwd,95.9,2926,ohc,four,156,3.59,145,19,24,173.2,66.3
6989.0,gas,std,sedan,fwd,96.3,2365,ohc,four,122,3.35,88,25,32,172.4,65.4
8189.0,gas,std,sedan,fwd,96.3,2405,ohc,four,122,3.35,88,25,32,172.4,65.4
9279.0,gas,turbo,sedan,fwd,96.3,2403,ohc,four,110,3.17,116,23,30,172.4,65.4
9279.0,gas,std,sedan,fwd,96.3,2403,ohc,four,110,3.17,116,23,30,172.4,65.4
5499.0,gas,std,sedan,fwd,94.5,1889,ohc,four,97,3.15,69,31,37,165.3,63.8
7099.0,diesel,std,sedan,fwd,94.5,2017,ohc,four,103,2.99,55,45,50,165.3,63.8
6649.0,gas,std,sedan,fwd,94.5,1918,ohc,four,97,3.15,69,31,37,165.3,63.8
6849.0,gas,std,sedan,fwd,94.5,1938,ohc,four,97,3.15,69,31,37,165.3,63.8
7349.0,gas,std,wagon,fwd,94.5,2024,ohc,four,97,3.15,69,31,37,170.2,63.8
7299.0,gas,std,sedan,fwd,94.5,1951,ohc,four,97,3.15,69,31,37,165.3,63.8
7799.0,gas,std,hatchback,fwd,94.5,2028,ohc,four,97,3.15,69,31,37,165.6,63.8
7499.0,gas,std,sedan,fwd,94.5,1971,ohc,four,97,3.15,69,31,37,165.3,63.8
7999.0,gas,std,wagon,fwd,94.5,2037,ohc,four,97,3.15,69,31,37,170.2,63.8
8249.0,gas,std,hardtop,fwd,95.1,2008,ohc,four,97,3.15,69,31,37,162.4,63.8
8949.0,gas,std,hatchback,fwd,97.2,2324,ohc,four,120,3.33,97,27,34,173.4,65.2
9549.0,gas,std,sedan,fwd,97.2,2302,ohc,four,120,3.33,97,27,34,173.4,65.2
13499.0,gas,std,sedan,fwd,100.4,3095,ohcv,six,181,3.43,152,17,22,181.7,66.5
14399.0,gas,std,wagon,fwd,100.4,3296,ohcv,six,181,3.43,152,17,22,184.6,66.5
13499.0,gas,std,sedan,fwd,100.4,3060,ohcv,six,181,3.43,152,19,25,184.6,66.5
17199.0,gas,std,hatchback,rwd,91.3,3071,ohcv,six,181,3.43,160,19,25,170.7,67.9
19699.0,gas,turbo,hatchback,rwd,91.3,3139,ohcv,six,181,3.43,200,17,23,170.7,67.9
18399.0,gas,std,hatchback,rwd,99.2,3139,ohcv,six,181,3.43,160,19,25,178.5,67.9
11900.0,gas,std,sedan,rwd,107.9,3020,l,four,120,3.46,97,19,24,186.7,68.4
13200.0,diesel,turbo,sedan,rwd,107.9,3197,l,four,152,3.7,95,28,33,186.7,68.4
12440.0,gas,std,wagon,rwd,114.2,3230,l,four,120,3.46,97,19,24,198.9,68.4
13860.0,diesel,turbo,wagon,rwd,114.2,3430,l,four,152,3.7,95,25,25,198.9,68.4
15580.0,gas,std,sedan,rwd,107.9,3075,l,four,120,3.46,95,19,24,186.7,68.4
16900.0,diesel,turbo,sedan,rwd,107.9,3252,l,four,152,3.7,95,28,33,186.7,68.4
16695.0,gas,std,wagon,rwd,114.2,3285,l,four,120,3.46,95,19,24,198.9,68.4
17075.0,diesel,turbo,wagon,rwd,114.2,3485,l,four,152,3.7,95,25,25,198.9,68.4
16630.0,gas,std,sedan,rwd,107.9,3075,l,four,120,3.46,97,19,24,186.7,68.4
17950.0,diesel,turbo,sedan,rwd,107.9,3252,l,four,152,3.7,95,28,33,186.7,68.4
18150.0,gas,turbo,sedan,rwd,108.0,3130,l,four,134,3.61,142,18,24,186.7,68.3
5572.0,gas,std,hatchback,fwd,93.7,1918,ohc,four,90,2.97,68,37,41,157.3,63.8
7957.0,gas,turbo,hatchback,fwd,93.7,2128,ohc,four,98,3.03,102,24,30,157.3,63.8
6229.0,gas,std,hatchback,fwd,93.7,1967,ohc,four,90,2.97,68,31,38,157.3,63.8
6692.0,gas,std,sedan,fwd,93.7,1989,ohc,four,90,2.97,68,31,38,167.3,63.8
7609.0,gas,std,sedan,fwd,93.7,2191,ohc,four,98,2.97,68,31,38,167.3,63.8
8921.0,gas,std,wagon,fwd,103.3,2535,ohc,four,122,3.35,88,24,30,174.6,64.6
12764.0,gas,turbo,hatchback,rwd,95.9,2818,ohc,four,156,3.59,145,19,24,173.2,66.3
22018.0,gas,std,hatchback,rwd,94.5,2778,ohc,four,151,3.94,143,19,27,168.9,68.3
32528.0,gas,std,hardtop,rwd,89.5,2756,ohcf,six,194,3.74,207,17,25,168.9,65.0
34028.0,gas,std,hardtop,rwd,89.5,2756,ohcf,six,194,3.74,207,17,25,168.9,65.0
37028.0,gas,std,convertible,rwd,89.5,2800,ohcf,six,194,3.74,207,17,25,168.9,65.0
31400.5,gas,std,hatchback,rwd,98.4,3366,dohcv,eight,203,3.94,288,17,28,175.7,72.3
9295.0,gas,std,wagon,fwd,96.1,2579,ohc,four,132,3.46,90,23,31,181.5,66.5
9895.0,gas,std,hatchback,fwd,96.1,2460,ohc,four,132,3.46,90,23,31,176.8,66.6
11850.0,gas,std,hatchback,fwd,99.1,2658,ohc,four,121,3.54,110,21,28,186.6,66.5
12170.0,gas,std,sedan,fwd,99.1,2695,ohc,four,121,3.54,110,21,28,186.6,66.5
15040.0,gas,std,hatchback,fwd,99.1,2707,ohc,four,121,2.54,110,21,28,186.6,66.5
15510.0,gas,std,sedan,fwd,99.1,2758,ohc,four,121,3.54,110,21,28,186.6,66.5
18150.0,gas,turbo,hatchback,fwd,99.1,2808,dohc,four,121,3.54,160,19,26,186.6,66.5
18620.0,gas,turbo,sedan,fwd,99.1,2847,dohc,four,121,3.54,160,19,26,186.6,66.5
5118.0,gas,std,hatchback,fwd,93.7,2050,ohcf,four,97,3.62,69,31,36,156.9,63.4
7053.0,gas,std,hatchback,fwd,93.7,2120,ohcf,four,108,3.62,73,26,31,157.9,63.6
7603.0,gas,std,hatchback,4wd,93.3,2240,ohcf,four,108,3.62,73,26,31,157.3,63.8
7126.0,gas,std,sedan,fwd,97.2,2145,ohcf,four,108,3.62,82,32,37,172.0,65.4
7775.0,gas,std,sedan,fwd,97.2,2190,ohcf,four,108,3.62,82,28,33,172.0,65.4
9960.0,gas,std,sedan,fwd,97.2,2340,ohcf,four,108,3.62,94,26,32,172.0,65.4
9233.0,gas,std,sedan,4wd,97.0,2385,ohcf,four,108,3.62,82,24,25,172.0,65.4
11259.0,gas,turbo,sedan,4wd,97.0,2510,ohcf,four,108,3.62,111,24,29,172.0,65.4
7463.0,gas,std,wagon,fwd,97.0,2290,ohcf,four,108,3.62,82,28,32,173.5,65.4
10198.0,gas,std,wagon,fwd,97.0,2455,ohcf,four,108,3.62,94,25,31,173.5,65.4
8013.0,gas,std,wagon,4wd,96.9,2420,ohcf,four,108,3.62,82,23,29,173.6,65.4
11694.0,gas,turbo,wagon,4wd,96.9,2650,ohcf,four,108,3.62,111,23,23,173.6,65.4
5348.0,gas,std,hatchback,fwd,95.7,1985,ohc,four,92,3.05,62,35,39,158.7,63.6
6338.0,gas,std,hatchback,fwd,95.7,2040,ohc,four,92,3.05,62,31,38,158.7,63.6
6488.0,gas,std,hatchback,fwd,95.7,2015,ohc,four,92,3.05,62,31,38,158.7,63.6
6918.0,gas,std,wagon,fwd,95.7,2280,ohc,four,92,3.05,62,31,37,169.7,63.6
7898.0,gas,std,wagon,4wd,95.7,2290,ohc,four,92,3.05,62,27,32,169.7,63.6
8778.0,gas,std,wagon,4wd,95.7,3110,ohc,four,92,3.05,62,27,32,169.7,63.6
6938.0,gas,std,sedan,fwd,95.7,2081,ohc,four,98,3.19,70,30,37,166.3,64.4
7198.0,gas,std,hatchback,fwd,95.7,2109,ohc,four,98,3.19,70,30,37,166.3,64.4
7898.0,diesel,std,sedan,fwd,95.7,2275,ohc,four,110,3.27,56,34,36,166.3,64.4
7788.0,diesel,std,hatchback,fwd,95.7,2275,ohc,four,110,3.27,56,38,47,166.3,64.4
7738.0,gas,std,sedan,fwd,95.7,2094,ohc,four,98,3.19,70,38,47,166.3,64.4
8358.0,gas,std,hatchback,fwd,95.7,2122,ohc,four,98,3.19,70,28,34,166.3,64.4
9258.0,gas,std,sedan,fwd,95.7,2140,ohc,four,98,3.19,70,28,34,166.3,64.4
8058.0,gas,std,sedan,rwd,94.5,2169,ohc,four,98,3.19,70,29,34,168.7,64.0
8238.0,gas,std,hatchback,rwd,94.5,2204,ohc,four,98,3.19,70,29,34,168.7,64.0
9298.0,gas,std,sedan,rwd,94.5,2265,dohc,four,98,3.24,112,26,29,168.7,64.0
9538.0,gas,std,hatchback,rwd,94.5,2300,dohc,four,98,3.24,112,26,29,168.7,64.0
8449.0,gas,std,hardtop,rwd,98.4,2540,ohc,four,146,3.62,116,24,30,176.2,65.6
9639.0,gas,std,hardtop,rwd,98.4,2536,ohc,four,146,3.62,116,24,30,176.2,65.6
9989.0,gas,std,hatchback,rwd,98.4,2551,ohc,four,146,3.62,116,24,30,176.2,65.6
11199.0,gas,std,hardtop,rwd,98.4,2679,ohc,four,146,3.62,116,24,30,176.2,65.6
11549.0,gas,std,hatchback,rwd,98.4,2714,ohc,four,146,3.62,116,24,30,176.2,65.6
17669.0,gas,std,convertible,rwd,98.4,2975,ohc,four,146,3.62,116,24,30,176.2,65.6
8948.0,gas,std,sedan,fwd,102.4,2326,ohc,four,122,3.31,92,29,34,175.6,66.5
10698.0,diesel,turbo,sedan,fwd,102.4,2480,ohc,four,110,3.27,73,30,33,175.6,66.5
9988.0,gas,std,hatchback,fwd,102.4,2414,ohc,four,122,3.31,92,27,32,175.6,66.5
10898.0,gas,std,sedan,fwd,102.4,2414,ohc,four,122,3.31,92,27,32,175.6,66.5
11248.0,gas,std,hatchback,fwd,102.4,2458,ohc,four,122,3.31,92,27,32,175.6,66.5
16558.0,gas,std,hatchback,rwd,102.9,2976,dohc,six,171,3.27,161,20,24,183.5,67.7
15998.0,gas,std,hatchback,rwd,102.9,3016,dohc,six,171,3.27,161,19,24,183.5,67.7
15690.0,gas,std,sedan,rwd,104.5,3131,dohc,six,171,3.27,156,20,24,187.8,66.5
15750.0,gas,std,wagon,rwd,104.5,3151,dohc,six,161,3.27,156,19,24,187.8,66.5
7775.0,diesel,std,sedan,fwd,97.3,2261,ohc,four,97,3.01,52,37,46,171.7,65.5
7975.0,gas,std,sedan,fwd,97.3,2209,ohc,four,109,3.19,85,27,34,171.7,65.5
7995.0,diesel,std,sedan,fwd,97.3,2264,ohc,four,97,3.01,52,37,46,171.7,65.5
8195.0,gas,std,sedan,fwd,97.3,2212,ohc,four,109,3.19,85,27,34,171.7,65.5
8495.0,gas,std,sedan,fwd,97.3,2275,ohc,four,109,3.19,85,27,34,171.7,65.5
9495.0,diesel,turbo,sedan,fwd,97.3,2319,ohc,four,97,3.01,68,37,42,171.7,65.5
9995.0,gas,std,sedan,fwd,97.3,2300,ohc,four,109,3.19,100,26,32,171.7,65.5
11595.0,gas,std,convertible,fwd,94.5,2254,ohc,four,109,3.19,90,24,29,159.3,64.2
9980.0,gas,std,hatchback,fwd,94.5,2221,ohc,four,109,3.19,90,24,29,165.7,64.0
13295.0,gas,std,sedan,fwd,100.4,2661,ohc,five,136,3.19,110,19,24,180.2,66.9
13845.0,diesel,turbo,sedan,fwd,100.4,2579,ohc,four,97,3.01,68,33,38,180.2,66.9
12290.0,gas,std,wagon,fwd,100.4,2563,ohc,four,109,3.19,88,25,31,183.1,66.9
12940.0,gas,std,sedan,rwd,104.3,2912,ohc,four,141,3.78,114,23,28,188.8,67.2
13415.0,gas,std,wagon,rwd,104.3,3034,ohc,four,141,3.78,114,23,28,188.8,67.2
15985.0,gas,std,sedan,rwd,104.3,2935,ohc,four,141,3.78,114,24,28,188.8,67.2
16515.0,gas,std,wagon,rwd,104.3,3042,ohc,four,141,3.78,114,24,28,188.8,67.2
18420.0,gas,turbo,sedan,rwd,104.3,3045,ohc,four,130,3.62,162,17,22,188.8,67.2
18950.0,gas,turbo,wagon,rwd,104.3,3157,ohc,four,130,3.62,162,17,22,188.8,67.2
16845.0,gas,std,sedan,rwd,109.1,2952,ohc,four,141,3.78,114,23,28,188.8,68.9
19045.0,gas,turbo,sedan,rwd,109.1,3049,ohc,four,141,3.78,160,19,25,188.8,68.8
21485.0,gas,std,sedan,rwd,109.1,3012,ohcv,six,173,3.58,134,18,23,188.8,68.9
22470.0,diesel,turbo,sedan,rwd,109.1,3217,ohc,six,145,3.01,106,26,27,188.8,68.9
22625.0,gas,turbo,sedan,rwd,109.1,3062,ohc,four,141,3.78,114,19,25,188.8,68.9
